iter	Logloss
0	0.6899402325
1	0.687198581
2	0.6850495591
3	0.6828584594
4	0.681183944
5	0.6796412819
6	0.6781955159
7	0.6770174785
8	0.6759075111
9	0.6751078264
10	0.6740010113
11	0.6731755838
12	0.6724256086
13	0.6717647534
14	0.6710420569
15	0.6705770735
16	0.6701154335
17	0.669707267
18	0.669361114
19	0.6689542913
20	0.6685909257
21	0.668295133
22	0.6680073857
23	0.6675933414
24	0.6673508301
25	0.6671381898
26	0.6668572773
27	0.6665874285
28	0.6662932799
29	0.6661621289
30	0.6659852728
31	0.6657403376
32	0.6654828598
33	0.6653103119
34	0.6651934144
35	0.6649193735
36	0.664701376
37	0.6643683322
38	0.6642091775
39	0.6640732083
40	0.663952635
41	0.6637006304
42	0.6635900439
43	0.6633957961
44	0.6633062237
45	0.6631670251
46	0.6630285013
47	0.6629121451
48	0.66281566
49	0.6625942165
50	0.6624332508
51	0.662325158
52	0.6621058254
53	0.662000744
54	0.6617858078
55	0.6616627154
56	0.6615897962
57	0.6614894476
58	0.6614157503
59	0.6612944512
60	0.6611561251
61	0.661111486
62	0.6610284487
63	0.660918623
64	0.660845224
65	0.6608230478
66	0.6607076682
67	0.6606271793
68	0.6605288129
69	0.6604534595
70	0.6603043321
71	0.6602644052
72	0.6601943001
73	0.6601172719
74	0.6600827297
75	0.6599281264
76	0.6598904485
77	0.6597288258
78	0.6595460323
79	0.6595132858
80	0.6594351722
81	0.6594027513
82	0.6593106762
83	0.6592426812
84	0.6591978892
85	0.6591276771
86	0.6590048345
87	0.6589557
88	0.658899671
89	0.6588609845
90	0.6588342573
91	0.6587733018
92	0.6587427456
93	0.6587141365
94	0.6586607748
95	0.658615068
96	0.658602359
97	0.658535593
98	0.658511028
99	0.6584797288
100	0.6584530956
101	0.6583271236
102	0.6582909324
103	0.6582524065
104	0.6581707357
105	0.6581184973
106	0.6580905443
107	0.6580672758
108	0.6580183284
109	0.6579859221
110	0.6579483865
111	0.6579272283
112	0.6578905555
113	0.6578648117
114	0.6578411101
115	0.6577790708
116	0.6577189508
117	0.6576971505
118	0.6576769376
119	0.6576163208
120	0.6575516126
121	0.6574675697
122	0.6574281467
123	0.6573844879
124	0.6573541398
125	0.6573067324
126	0.6572508375
127	0.6571636095
128	0.6571261717
129	0.657073097
130	0.6570028636
131	0.6569637613
132	0.6569432083
133	0.6569217779
134	0.6568284432
135	0.6567826331
136	0.6567350212
137	0.6566886429
138	0.6566561022
139	0.6565697576
140	0.6565128291
141	0.6564430703
142	0.6564170407
143	0.6563655743
144	0.6563419189
145	0.656323264
146	0.6562081722
147	0.6561395007
148	0.6561153992
149	0.6561130965
150	0.6560492402
151	0.6560382161
152	0.6559796609
153	0.6559645027
154	0.6558870962
155	0.6558206859
156	0.6557079658
157	0.6556418296
158	0.6555813363
159	0.6555468041
160	0.6555008635
161	0.6553929997
162	0.6553579205
163	0.655207529
164	0.6551925622
165	0.655164524
166	0.6551018448
167	0.6549958884
168	0.6549187835
169	0.6548865923
170	0.6548045452
171	0.6547581761
172	0.6546825903
173	0.6546438965
174	0.6545999201
175	0.6545437789
176	0.6545227465
177	0.6544363058
178	0.6543720369
179	0.6543045538
180	0.6542260601
181	0.6541689938
182	0.6541315743
183	0.6540544454
184	0.6540244026
185	0.653956167
186	0.6539208726
187	0.6538226254
188	0.6537492532
189	0.6537129804
190	0.6535953281
191	0.6535145132
192	0.6533757004
193	0.6531749174
194	0.6531117777
195	0.6530247331
196	0.6529663736
197	0.6528903215
198	0.6528442364
199	0.6527914501
200	0.6527469463
201	0.6526652074
202	0.6525927237
203	0.6525054043
204	0.652421456
205	0.6523451914
206	0.6522983798
207	0.6522377076
208	0.6521811447
209	0.6521227158
210	0.6519846395
211	0.6519243954
212	0.6518847019
213	0.6518122772
214	0.65178183
215	0.6517041347
216	0.6515976465
217	0.6515563339
218	0.6514714078
219	0.651352375
220	0.6512946817
221	0.6512386855
222	0.6511709781
223	0.651108409
224	0.6510692776
225	0.6510189348
226	0.6509708702
