iter	Passed	Remaining
0	35	35268
1	55	27750
2	76	25455
3	93	23279
4	109	21806
5	127	21154
6	145	20618
7	161	20074
8	179	19742
9	197	19529
10	213	19200
11	231	19020
12	248	18899
13	265	18706
14	284	18685
15	307	18921
16	325	18804
17	341	18610
18	364	18804
19	384	18856
20	404	18847
21	421	18727
22	439	18665
23	457	18607
24	474	18488
25	491	18420
26	507	18290
27	525	18245
28	543	18197
29	560	18112
30	577	18043
31	595	18010
32	611	17907
33	629	17872
34	645	17799
35	661	17717
36	681	17731
37	697	17652
38	712	17567
39	731	17565
40	749	17526
41	766	17487
42	782	17422
43	801	17416
44	819	17381
45	836	17351
46	855	17345
47	883	17521
48	906	17584
49	924	17561
50	940	17499
51	958	17471
52	979	17498
53	998	17489
54	1015	17444
55	1033	17416
56	1050	17378
57	1069	17376
58	1084	17302
59	1100	17245
60	1117	17208
61	1134	17162
62	1151	17129
63	1170	17116
64	1189	17105
65	1201	17001
66	1219	16986
67	1237	16964
68	1258	16974
69	1276	16962
70	1295	16956
71	1312	16921
72	1331	16911
73	1348	16869
74	1363	16821
75	1382	16810
76	1397	16749
77	1421	16799
78	1436	16752
79	1455	16739
80	1478	16777
81	1496	16749
82	1514	16733
83	1531	16705
84	1548	16665
85	1566	16644
86	1585	16634
87	1602	16603
88	1621	16593
89	1639	16576
90	1656	16542
91	1679	16574
92	1695	16531
93	1713	16517
94	1728	16470
95	1745	16436
96	1763	16418
97	1781	16393
98	1795	16338
99	1814	16327
100	1829	16285
101	1845	16244
102	1863	16228
103	1881	16206
104	1896	16165
105	1913	16141
106	1930	16110
107	1957	16170
108	1977	16165
109	1995	16147
110	2016	16147
111	2032	16116
112	2052	16110
113	2070	16088
114	2092	16106
115	2112	16099
116	2130	16079
117	2147	16053
118	2166	16042
119	2183	16013
120	2203	16010
121	2221	15985
122	2240	15974
123	2259	15963
124	2275	15931
125	2292	15904
126	2313	15903
127	2333	15893
128	2348	15857
129	2366	15839
130	2382	15803
131	2402	15797
132	2417	15759
133	2437	15753
134	2460	15763
135	2484	15786
136	2502	15762
137	2518	15728
138	2533	15692
139	2550	15667
140	2567	15640
141	2584	15616
142	2601	15591
143	2618	15566
144	2635	15538
145	2653	15522
146	2672	15509
147	2691	15492
148	2709	15474
149	2719	15411
150	2736	15387
151	2752	15353
152	2771	15344
153	2789	15323
154	2807	15303
155	2822	15269
156	2839	15247
157	2859	15237
158	2875	15211
159	2891	15179
160	2908	15156
161	2925	15132
162	2943	15112
163	2960	15092
164	2977	15066
165	2996	15052
166	3013	15033
167	3030	15009
168	3048	14990
169	3066	14972
170	3081	14939
171	3098	14915
172	3113	14883
173	3130	14858
174	3148	14844
175	3166	14824
176	3181	14793
177	3197	14768
178	3215	14748
179	3232	14723
180	3254	14725
181	3271	14703
182	3289	14686
183	3305	14660
184	3321	14630
185	3337	14606
186	3355	14586
187	3372	14565
188	3388	14541
189	3405	14518
190	3422	14496
191	3440	14477
192	3458	14460
193	3474	14434
194	3491	14413
195	3508	14393
196	3526	14374
197	3547	14368
198	3565	14352
199	3583	14333
200	3602	14319
201	3619	14299
202	3638	14283
203	3658	14274
204	3677	14261
205	3696	14246
206	3713	14224
207	3732	14212
208	3750	14194
209	3768	14175
210	3786	14159
211	3805	14143
212	3824	14129
213	3842	14113
214	3857	14085
215	3875	14066
216	3893	14048
217	3912	14034
218	3930	14017
219	3950	14005
220	3967	13985
221	3986	13969
222	4004	13954
223	4023	13938
224	4045	13933
225	4064	13920
226	4082	13900
227	4100	13883
228	4117	13863
229	4135	13845
230	4153	13826
231	4170	13804
232	4189	13790
233	4207	13772
234	4227	13760
235	4246	13747
236	4265	13731
237	4283	13713
238	4300	13692
239	4316	13669
240	4333	13647
241	4350	13626
242	4367	13606
243	4383	13581
244	4403	13571
